Unnamed: 0,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
167510,KERALA,1957,50 KARIKODE,3 ANNA VARKEY,M,,,PSP,776.0
167511,KERALA,1957,51 POONJAR,1 THOMMAN T. A.,M,,,INC,21279.0
167512,KERALA,1957,51 POONJAR,2 CHACKO VALLIKKAPPAN (JOCOB),M,,,CPI,9045.0
167513,KERALA,1957,51 POONJAR,3 EMMANUAL PALKEDAY,M,,,PSP,4449.0
167514,KERALA,1957,52 PULIYANNUR,1 K. M. JOSEPH CHAZHICATT,M,,,PSP,18605.0
167515,KERALA,1957,52 PULIYANNUR,2 CHANDY,M,,,INC,17915.0
167516,KERALA,1957,52 PULIYANNUR,3 V. G. NAIR,M,,,IND,1056.0
167517,KERALA,1957,52 PULIYANNUR,3 V. G. NAIR,M,,,IND,1056.0
167518,KERALA,1957,53 PALLURUTHY,1 ALEXANDER PARAMBITHARA,M,,,INC,23666.0
167519,KERALA,1957,53 PALLURUTHY,2 GANGADHARAN P.,M,,,CPI,19848.0
167520,KERALA,1957,53 PALLURUTHY,3 RAMAKRISHNAN NAIR P. K.,M,,,PSP,1993.0
167521,KERALA,1957,54 MATTANCHERRY,1 VISWANATHAN K. K.,M,,,INC,19106.0
167522,KERALA,1957,54 MATTANCHERRY,2 ABOO T. M.,M,,,CPI,13046.0
167523,KERALA,1957,54 MATTANCHERRY,3 EBRAHIM S/O MOHAMMED,M,,,PSP,3007.0
167524,KERALA,1957,54 MATTANCHERRY,4 PAI L. G.,M,,,RSP,512.0
167525,KERALA,1957,55 NARAKAL,1 K. C. ABRAHAM,M,,,INC,24253.0
167526,KERALA,1957,55 NARAKAL,2 K. K. RAMAKRISHNAN,M,,,CPI,22321.0
167527,KERALA,1957,55 NARAKAL,3 POULO I.,M,,,PSP,1963.0
167528,KERALA,1957,56 ERANAKULAM,1 JACOB A. L.,M,,,INC,23857.0
167529,KERALA,1957,56 ERANAKULAM,2 V. RAMANKUTTY MENON,M,,,CPI,18172.0
167530,KERALA,1957,56 ERANAKULAM,3 K. SREENIVASA MALLAN,M,,,IND,1602.0
167531,KERALA,1957,56 ERANAKULAM,4 T. X. RAPHY,M,,,IND,583.0
167532,KERALA,1957,57 KANAYANNOUR,1 RAMAKRISHNAN T. K.,M,,,CPI,21292.0
167533,KERALA,1957,57 KANAYANNOUR,2 JOSEPH A. V.,M,,,INC,17506.0
167534,KERALA,1957,57 KANAYANNOUR,3 PARAMESWARA PANICKER,M,,,PSP,3955.0
167535,KERALA,1957,57 KANAYANNOUR,3 PARAMESWARA PANICKER,M,,,PSP,3955.0
167536,KERALA,1957,58 ALWAYE,1 T. O. BAVA,M,,,INC,23707.0
167537,KERALA,1957,58 ALWAYE,2 VARKEY M. C.,M,,,IND,21142.0
167538,KERALA,1957,59 PERUMBAVOOR,1 GOVINDA PILLAI P.,M,,,CPI,21679.0
167539,KERALA,1957,59 PERUMBAVOOR,2 K. A. DAMODARA MENON,M,,,INC,20780.0
167540,KERALA,1957,59 PERUMBAVOOR,"3 POULOSE CHUMMAR, K.",M,,,PSP,949.0
167541,KERALA,1957,60 KOTHAKULANGARS,1 ANTHONY M. A.,M,,,INC,24133.0
167542,KERALA,1957,60 KOTHAKULANGARS,2 A. P. KURIAN,M,,,CPI,15246.0
167543,KERALA,1957,60 KOTHAKULANGARS,3 P. J. KUNJITHOMMAN,M,,,IND,2636.0
167544,KERALA,1957,61 PARAVUR,1 SIVAN PILLAI N.,M,,,CPI,19997.0
167545,KERALA,1957,61 PARAVUR,2 K. I. MATHEW,M,,,INC,17909.0
167546,KERALA,1957,61 PARAVUR,3 CHUMMAR O. R.,M,,,PSP,5520.0
167547,KERALA,1957,62 VADAKARA,1 BALAN K. A.,M,,,CPI,23385.0
167548,KERALA,1957,62 VADAKARA,2 VIJAYAN K. R.,M,,,INC,17844.0
167549,KERALA,1957,63 CRANGANORE,1 E. GOPALAKRISHNA MENON,M,,,CPI,20385.0
167550,KERALA,1957,63 CRANGANORE,2 KUNJU MOIDEEN A. K.,M,,,INC,18894.0
167551,KERALA,1957,63 CRANGANORE,3 PUTHUR ACHUTHA MENON,M,,,PSP,7184.0
167552,KERALA,1957,64 CHALAKUDY,1 P. K. CHATHAN (SC),M,,,CPI,43454.0
167553,KERALA,1957,64 CHALAKUDY,2 C. J. JENARDHANAN,M,,,PSP,42997.0
167554,KERALA,1957,64 CHALAKUDY,3 PANAMILLY GOVINDA MENON,M,,,INC,39627.0
167555,KERALA,1957,64 CHALAKUDY,4 K. K. BALAKRISHNAN (SC),M,,,INC,30937.0
167556,KERALA,1957,64 CHALAKUDY,5 A. V. MOOTHEDAN,M,,,IND,6044.0
167557,KERALA,1957,65 IRINJALAKKUDA,1 ACHUTHA MENON C.,M,,,CPI,24140.0
167558,KERALA,1957,65 IRINJALAKKUDA,2 K. T. ACHUTHAN,M,,,INC,21480.0
167559,KERALA,1957,65 IRINJALAKKUDA,3 DEVASSY P.,M,,,IND,678.0
167560,KERALA,1957,66 MANALUR,1 MUNDASSERY JOSEPH,M,,,CPI,23350.0
167561,KERALA,1957,66 MANALUR,2 SUKUMARAN,M,,,INC,21355.0
167562,KERALA,1957,66 MANALUR,3 GOVINDANKUTTY NAIR K.,M,,,PSP,2486.0
167563,KERALA,1957,67 TRICHUR,1 A. R. MENON,M,,,IND,23531.0
167564,KERALA,1957,67 TRICHUR,2 KARUNAKARAN K.,M,,,INC,21045.0
167565,KERALA,1957,68 OLLUR,1 PARANCHU R.,M,,,INC,15994.0
167566,KERALA,1957,68 OLLUR,2 RAGHAVAN V.,M,,,CPI,15915.0
167567,KERALA,1957,68 OLLUR,3 VARHESE B. C.,M,,,PSP,3697.0
167568,KERALA,1957,69 KUNNAMKULAM,1 KRISHNAN T. K.,M,,,CPI,21161.0
167569,KERALA,1957,69 KUNNAMKULAM,2 VELAYUDHAN K. I.,M,,,INC,18788.0
167570,KERALA,1957,69 KUNNAMKULAM,3 IPE T. C.,M,,,PSP,2766.0
167571,KERALA,1957,70 WADAKKANCHERY,1 AYYAPPAN C. C. (SC),M,,,CPI,33161.0
167572,KERALA,1957,70 WADAKKANCHERY,2 KOCHUKUTTAN K (SC),M,,,INC,28895.0
167573,KERALA,1957,70 WADAKKANCHERY,3 BALAKRISHNA MENON K.,M,,,PSP,27357.0
167574,KERALA,1957,70 WADAKKANCHERY,4 NARAYANA MENON K.,M,,,INC,24467.0
167575,KERALA,1957,70 WADAKKANCHERY,5 KARAPPAN P. K. (SC),M,,,IND,11609.0
167576,KERALA,1957,71 NATTIKA,1 ACHUTHAN K. S.,M,,,INC,23594.0
167577,KERALA,1957,71 NATTIKA,2 GOPALAKRISHNAN P. K.,M,,,CPI,22039.0
167578,KERALA,1957,72 GURUVAYUR,1 KORU KOOLIYAT,M,,,IND,16722.0
167579,KERALA,1957,72 GURUVAYUR,2 ABUBAKER M. V.,M,,,INC,14087.0
167580,KERALA,1957,72 GURUVAYUR,3 SEBASTIAN K. J.,M,,,PSP,6259.0
167581,KERALA,1957,73 ANDATHODU,1 GOVINDAN KUTTY MENON K.,M,,,CPI,14229.0
167582,KERALA,1957,73 ANDATHODU,2 KARUNAKARA MENON K. G.,M,,,INC,12495.0
167583,KERALA,1957,73 ANDATHODU,2 KARUNAKARA MENON K. G.,M,,,INC,12495.0
167584,KERALA,1957,73 ANDATHODU,3 HANEEFA SAHIB E. S. M.,M,,,IND,8450.0
167585,KERALA,1957,74 PONNANI,1 KUNHAMBU KALLAYAN (SC),M,,,INC,22784.0
167586,KERALA,1957,74 PONNANI,2 KUNHAN ELIYATH THARAYIL (SC),M,,,CPI,20535.0
167587,KERALA,1957,74 PONNANI,3 IMBICHI BAVA E. K.,M,,,CPI,18793.0
167588,KERALA,1957,74 PONNANI,4 CHERUKOYA THANGAL V. P.,M,,,IND,18068.0
167589,KERALA,1957,74 PONNANI,5 RAMAN MENON K. V.,M,,,INC,16409.0
167590,KERALA,1957,74 PONNANI,5 RAMAN MENON K. V.,M,,,INC,16409.0
167591,KERALA,1957,74 PONNANI,6 CHATHU VARIATH PARAMBIL (SC),M,,,PSP,14697.0
167592,KERALA,1957,74 PONNANI,7 PADMANABHA MENON P. M.,M,,,RSP,2431.0
167593,KERALA,1957,75 KUZHALMANNAM,1 JOHN KUDUVAKKOTTE,M,,,IND,19437.0
